Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1996-97,18,LAL,NBA,SF,71,1103,14.4,.544,.322,.393,4.9,8.7,6.8,13.8,2.3,1.6,18.5,24.7,,0.5,1.3,1.8,.079,,-0.2,0.1,-0.1,0.5
1997-98,19,LAL,NBA,SF,79,2056,18.5,.548,.241,.501,4.5,8.7,6.7,16.0,1.8,1.3,12.4,27.2,,4.5,1.8,6.3,.147,,2.2,-0.8,1.4,1.8
1998-99,20,LAL,NBA,SG,50,1896,18.9,.549,.130,.375,3.3,12.7,8.1,17.5,2.0,1.9,14.7,25.3,,3.7,1.5,5.2,.130,,2.1,-0.1,2.1,1.9
1999-00,21,LAL,NBA,SG,66,2524,21.7,.546,.122,.341,4.6,12.9,8.8,22.4,2.2,1.7,11.8,26.8,,6.1,4.5,10.6,.202,,3.5,1.6,5.1,4.5
2000-01,22,LAL,NBA,SG,68,2783,24.5,.552,.132,.369,4.3,11.8,8.1,23.0,2.1,1.1,11.1,31.8,,9.2,2.2,11.3,.196,,5.1,-0.3,4.8,4.7
2001-02,23,LAL,NBA,SG,80,3063,23.2,.544,.083,.369,4.1,11.7,7.9,25.9,2.0,0.8,10.7,30.4,,8.9,3.8,12.7,.199,,4.3,0.3,4.6,5.2
2002-03,24,LAL,NBA,SG,82,3401,26.2,.550,.168,.371,3.5,15.3,9.3,27.2,2.8,1.4,11.4,32.9,,11.0,4.0,14.9,.210,,6.3,0.7,7.1,7.7
2003-04,25,LAL,NBA,SG,65,2447,23.7,.551,.184,.452,4.7,12.0,8.3,24.4,2.4,0.8,10.8,29.1,,7.8,3.0,10.7,.210,,5.1,0.5,5.6,4.7
2004-05,26,LAL,NBA,SG,66,2689,23.3,.563,.292,.502,4.0,12.4,8.2,28.5,1.7,1.4,14.3,31.7,,7.1,1.0,8.1,.145,,5.7,-0.8,5.0,4.7
2005-06,27,LAL,NBA,SG,80,3277,28.0,.559,.238,.377,2.6,12.7,7.6,24.1,2.4,0.7,9.0,38.7,,11.6,3.7,15.3,.224,,7.4,0.2,7.6,8.0
2006-07,28,LAL,NBA,SG,77,3140,26.1,.580,.227,.437,2.8,13.5,8.2,25.5,1.8,0.9,10.9,33.6,,10.8,2.2,13.0,.199,,6.4,-0.5,5.9,6.1
2007-08,29,LAL,NBA,SG,82,3192,24.2,.576,.246,.439,3.4,14.1,9.0,23.9,2.4,0.9,11.3,31.4,,9.5,4.3,13.8,.208,,5.2,0.6,5.8,6.3
2008-09,30,LAL,NBA,SG,82,2960,24.4,.561,.196,.329,3.5,12.8,8.2,23.8,2.1,1.0,9.7,32.2,,8.6,4.0,12.7,.206,,5.6,0.3,5.9,5.9
2009-10,31,LAL,NBA,SG,73,2835,21.9,.545,.192,.345,3.1,12.2,7.7,23.8,2.1,0.5,11.4,32.3,,5.4,4.0,9.4,.160,,3.9,0.2,4.1,4.4
2010-11,32,LAL,NBA,SG,82,2779,23.9,.548,.217,.356,3.5,13.3,8.5,26.7,1.9,0.3,11.4,35.1,,6.8,3.5,10.3,.178,,5.4,-0.2,5.2,5.0
2011-12,33,LAL,NBA,SG,58,2232,21.9,.527,.215,.338,3.5,11.8,7.8,23.7,1.6,0.6,11.7,35.7,,4.2,2.0,6.2,.132,,4.2,-0.9,3.3,2.9
2012-13,34,LAL,NBA,SG,78,3013,23.0,.570,.255,.392,2.5,13.1,7.9,29.7,1.8,0.6,13.3,31.9,,8.4,2.6,10.9,.174,,4.7,-0.1,4.6,5.0
2013-14,35,LAL,NBA,SG,6,177,10.7,.505,.219,.288,1.2,14.5,7.8,34.6,1.9,0.4,29.2,28.7,,-0.5,0.1,-0.4,-0.097,,-3.1,-2.1,-5.1,-0.1
2014-15,36,LAL,NBA,SG,35,1207,17.6,.477,.258,.338,2.3,16.5,9.1,29.9,2.0,0.5,13.5,34.9,,-0.4,0.6,0.2,.006,,2.0,-1.7,0.3,0.7
2015-16,37,LAL,NBA,SF,66,1863,14.9,.469,.420,.252,2.3,12.3,7.1,19.1,1.7,0.5,9.4,32.2,,-0.9,0.5,-0.4,-0.010,,0.9,-2.4,-1.6,0.2
Career,,,NBA,,1346,48637,22.9,.550,.212,.382,3.5,12.7,8.1,24.2,2.1,1.0,11.6,31.8,,122.1,50.7,172.7,.170,,4.6,-0.1,4.6,80.1