,,,,,,,,Duncan Shooting %,Duncan Shooting %,Duncan Shooting %,Duncan Shooting %,Duncan Shooting %,Duncan Shooting %,Duncan Shooting %,Duncan Shooting %,,League Shooting %,League Shooting %,League Shooting %,League Shooting %,League Shooting %,League Shooting %,League Shooting %,League Shooting %,,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,,,
Season,Age,Team,Lg,Pos,G,MP,,FG,2P,3P,eFG,FT,TS,FTr,3PAr,,FG,2P,3P,eFG,FT,TS,FTr,3PAr,,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,,FG Add,TS Add
1997-98,21,SAS,NBA,PF,82,3204,,.549,.553,.000,.549,.662,.577,.374,.008,,.451,.470,.346,.478,.737,.524,.330,.160,,122,118,,115,90,110,114,5,,181.5,161.2
1998-99,22,SAS,NBA,PF,50,1963,,.495,.498,.143,.495,.690,.541,.424,.008,,.437,.457,.339,.466,.728,.511,.330,.168,,113,109,42,106,95,106,128,5,,50.3,58.6
1999-00,23,SAS,NBA,PF,74,2875,,.490,.494,.091,.491,.761,.555,.471,.009,,.449,.468,.353,.478,.750,.523,.308,.167,,109,106,26,103,101,106,153,5,,31.9,99.1
2000-01,24,SAS,NBA,PF,82,3174,,.499,.504,.259,.502,.618,.536,.471,.019,,.443,.461,.353,.473,.748,.518,.308,.170,,113,109,73,106,83,104,153,11,,81.4,62.1
2001-02,25,SAS,NBA,PF,82,3329,,.508,.511,.100,.508,.799,.576,.466,.007,,.445,.465,.354,.477,.752,.520,.293,.181,,114,110,28,107,106,111,159,4,,93.8,203.0
2002-03,26,SAS,NBA,PF,81,3181,,.513,.517,.273,.515,.710,.564,.456,.016,,.442,.463,.349,.474,.758,.519,.302,.182,,116,112,78,109,94,109,151,9,,114.7,148.3
2003-04,27,SAS,NBA,PF,69,2527,,.501,.505,.167,.502,.599,.534,.498,.010,,.439,.460,.347,.471,.752,.516,.303,.187,,114,110,48,107,80,103,164,5,,73.3,51.7
2004-05,28,SAS,NBA,PF,66,2203,,.496,.498,.333,.498,.670,.540,.437,.009,,.448,.470,.356,.482,.756,.529,.324,.196,,111,106,94,103,89,102,135,4,,31.8,26.7
2005-06,29,SAS,NBA,PF,80,2784,,.484,.485,.400,.485,.628,.523,.450,.004,,.454,.478,.358,.490,.745,.536,.333,.202,,107,101,112,99,84,98,135,2,,-11.2,-35.6
2006-07,30,SAS,NBA,C,80,2726,,.546,.550,.111,.547,.637,.579,.502,.008,,.458,.485,.358,.496,.752,.541,.327,.212,,119,113,31,110,85,107,154,4,,114.2,103.6
2007-08,31,SAS,NBA,C,78,2651,,.497,.498,.000,.497,.730,.546,.393,.003,,.457,.484,.362,.497,.755,.540,.306,.222,,109,103,,100,97,101,128,2,,-1.9,15.1
2008-09,32,SAS,NBA,C,75,2524,,.504,.505,.000,.504,.692,.549,.436,.002,,.459,.485,.367,.500,.771,.544,.306,.224,,110,104,,101,90,101,143,1,,9.5,13.3
2009-10,33,SAS,NBA,C,78,2438,,.518,.522,.182,.519,.725,.559,.346,.010,,.461,.492,.355,.501,.759,.543,.300,.222,,112,106,51,104,95,103,115,5,,40.4,41.4
2010-11,34,SAS,NBA,C,76,2156,,.500,.502,.000,.500,.716,.537,.307,.005,,.459,.487,.358,.498,.763,.541,.300,.222,,109,103,,100,94,99,102,2,,2.8,-7.9
2011-12,35,SAS,NBA,C,58,1634,,.492,.495,.000,.492,.695,.531,.340,.005,,.448,.477,.349,.487,.752,.527,.276,.226,,110,104,,101,92,101,123,2,,7.6,6.8
2012-13,36,SAS,NBA,C,69,2078,,.502,.504,.286,.503,.817,.554,.307,.007,,.453,.483,.359,.496,.753,.535,.271,.243,,111,104,80,101,108,104,114,3,,13.0,42.3
2013-14,37,SAS,NBA,C,74,2158,,.490,.493,.000,.490,.731,.535,.349,.005,,.454,.488,.360,.501,.756,.541,.284,.260,,108,101,,98,97,99,123,2,,-20.0,-11.5
2014-15,38,SAS,NBA,C,77,2227,,.512,.513,.286,.513,.740,.560,.380,.009,,.449,.485,.350,.496,.750,.534,.273,.268,,114,106,82,103,99,105,139,3,,27.8,48.8
2015-16,39,SAS,NBA,C,61,1536,,.487,.490,.000,.488,.702,.523,.297,.004,,.452,.491,.354,.502,.757,.541,.276,.285,,108,100,,97,93,97,108,2,,-13.2,-17.7
Career,,,NBA,,1392,47368,,.506,.509,.179,.507,.696,.551,.416,.008,,.450,.475,.353,.486,.752,.530,.305,.204,,112,107,51,104,93,104,136,4,,827.6,1009.4